"ｺ-ﾄﾞ","中分類ｺ-ﾄﾞ","統合中分類(108部門)部門名","列ｺ-ﾄﾞ","基本分類列(397部門)部門名","和歌山県（百万円）","全国（百万円）","対全国比（％）"
"663_自動車整備・機械修理_6632-10_機械修理","663","自動車整備・機械修理","6632-10","機械修理","33356.0","6652998.0","0.5013679547175574"
"669_その他の対事業所サービス","669","その他の対事業所サービス","","","98467.0","3.77058E7","0.26114550016177884"
"669_その他の対事業所サービス_6699-01_法務・財務・会計サービス","669","その他の対事業所サービス","6699-01","法務・財務・会計サービス","9493.0","2490133.0","0.38122461731963714"
"669_その他の対事業所サービス_6699-02_土木建築サービス","669","その他の対事業所サービス","6699-02","土木建築サービス","13883.0","3709720.0","0.3742330957592487"
"669_その他の対事業所サービス_6699-03_労働者派遣サービス","669","その他の対事業所サービス","6699-03","労働者派遣サービス","8586.0","5275112.0","0.16276431666285002"
"669_その他の対事業所サービス_6699-04_建物サービス","669","その他の対事業所サービス","6699-04","建物サービス","18897.0","6458642.0","0.2925847260151592"
"669_その他の対事業所サービス_6699-05_警備業","669","その他の対事業所サービス","6699-05","警備業","10691.0","1828770.0","0.5846005785309252"
"669_その他の対事業所サービス_6699-09_その他の対事業所サービス","669","その他の対事業所サービス","6699-09","その他の対事業所サービス","36917.0","1.7943423E7","0.20574112308448617"
"671_宿泊業","671","宿泊業","","","45637.0","4581515.0","0.9961115482542348"
"671_宿泊業_6711-01_宿泊業","671","宿泊業","6711-01","宿泊業","45637.0","4581515.0","0.9961115482542348"
"672_飲食サービス","672","飲食サービス","","","132098.0","2.5256354E7","0.5230287792133417"
"672_飲食サービス_6721-01_飲食サービス","672","飲食サービス","6721-01","飲食サービス","132098.0","2.5256354E7","0.5230287792133417"
"673_洗濯・理容・美容・浴場業","673","洗濯・理容・美容・浴場業","","","29130.0","5851143.0","0.49785144543553284"
"673_洗濯・理容・美容・浴場業_6731-01_洗濯業","673","洗濯・理容・美容・浴場業","6731-01","洗濯業","9655.0","1934826.0","0.4990112806009429"
"673_洗濯・理容・美容・浴場業_6731-02_理容業","673","洗濯・理容・美容・浴場業","6731-02","理容業","4210.0","650740.0","0.6469557734271751"
"673_洗濯・理容・美容・浴場業_6731-03_美容業","673","洗濯・理容・美容・浴場業","6731-03","美容業","12185.0","2118620.0","0.5751385335737413"
"673_洗濯・理容・美容・浴場業_6731-04_浴場業","673","洗濯・理容・美容・浴場業","6731-04","浴場業","1281.0","402327.0","0.31839772125658977"
"673_洗濯・理容・美容・浴場業_6731-09_その他の洗濯・理容・美容・浴場業","673","洗濯・理容・美容・浴場業","6731-09","その他の洗濯・理容・美容・浴場業","1799.0","744630.0","0.24159649758940682"
"674_娯楽サービス","674","娯楽サービス","","","56840.0","8938261.0","0.6359178815655528"
"674_娯楽サービス_6741-01_映画館","674","娯楽サービス","6741-01","映画館","1094.0","181197.0","0.6037627554540086"
"674_娯楽サービス_6741-02_興行場（映画館を除く。）・興行団","674","娯楽サービス","6741-02","興行場（映画館を除く。）・興行団","505.0","842429.0","0.05994570462317893"
"674_娯楽サービス_6741-03_競輪・競馬等の競走場・競技団","674","娯楽サービス","6741-03","競輪・競馬等の競走場・競技団","4385.0","1096587.0","0.3998770731369239"
"674_娯楽サービス_6741-04_スポーツ施設提供業・公園・遊園地","674","娯楽サービス","6741-04","スポーツ施設提供業・公園・遊園地","19722.0","2192462.0","0.8995366852424352"
"674_娯楽サービス_6741-05_遊戯場","674","娯楽サービス","6741-05","遊戯場","26585.0","4035499.0","0.6587785054586806"
"674_娯楽サービス_6741-09_その他の娯楽","674","娯楽サービス","6741-09","その他の娯楽","4549.0","590087.0","0.7709032735850816"
"679_その他の対個人サービス","679","その他の対個人サービス","","","40872.0","8126849.0","0.502925549619539"
"679_その他の対個人サービス_6799-01_写真業","679","その他の対個人サービス","6799-01","写真業","957.0","308945.0","0.309763873828675"
"679_その他の対個人サービス_6799-02_冠婚葬祭業","679","その他の対個人サービス","6799-02","冠婚葬祭業","22023.0","2972540.0","0.7408815356563746"
"679_その他の対個人サービス_6799-03_個人教授業","679","その他の対個人サービス","6799-03","個人教授業","13057.0","2772475.0","0.47095104554594724"
"679_その他の対個人サービス_6799-04_各種修理業（別掲を除く。）","679","その他の対個人サービス","6799-04","各種修理業（別掲を除く。）","871.0","222561.0","0.3913533817694924"
"679_その他の対個人サービス_6799-09_その他の対個人サービス","679","その他の対個人サービス","6799-09","その他の対個人サービス","3964.0","1850328.0","0.21423228746470896"
"681_事務用品","681","事務用品","","","8931.0","1325036.0","0.6740194228685107"
"681_事務用品_6811-00P_事務用品","681","事務用品","6811-00P","事務用品","8931.0","1325036.0","0.6740194228685107"
"691_分類不明","691","分類不明","","","52086.0","5010275.0","1.039583655587767"
"691_分類不明_6911-00_分類不明","691","分類不明","6911-00","分類不明","52086.0","5010275.0","1.039583655587767"
"970_県内生産額（国内生産額）_9700-00_県内生産額（国内生産額）","970","県内生産額（国内生産額）","9700-00","県内生産額（国内生産額）","7319939.0","9.39674856E8","0.7789863646197213"
